SYMBOL logFC
15 ABCA1 -1
20 ABCC5 -1
27 ABCG1 -1
56 ACKR3 -1
64 ACOX2 1
70 ACSS3 -1
104 ADM -1
106 ADORA1 1
114 ADRB1 1
145 AHRR -1
169 AKR1C3 -1
213 ANK3 -1
269 APOBEC3B -1
288 AREG 1
305 ARHGEF37 -1
335 ARNT2 -1
338 ARRB1 -1
353 ASCL1 1
396 ATP8A1 -1
399 ATP8B2 -1
416 AX746755 -1
426 B3GNT5 -1
428 B4GALT1 1
464 BCAS1 -1
474 BCL2L11 1
494 BIK -1
501 BLNK -1
542 BTG2 -1
566 CA12 1
573 CAB39L -1
583 CALB2 1
693 CCNG2 -1
756 CDK6 -1
761 CDKN2B -1
785 CELSR2 1
787 CEMIP -1
881 CLIP4 -1
885 CLMN -1
924 COL12A1 1
933 COLEC12 -1
951 CORO2A -1
982 CREBRF -1
988 CRISPLD2 -1
1011 CSTA -1
1036 CTNND2 -1
1055 CXCL12 1
1062 CYBRD1 -1
1125 DDIT4L -1
1171 DGAT2 1
1266 DOCK8 -1
1365 EFCAB4B -1
1375 EGR3 1
1416 ELOVL2 1
1448 EPB41L4A -1
1451 EPB41L5 -1
1458 EPHA4 -1
1472 ERBB4 -1
1492 ERP27 -1
1532 FABP5 1
1538 FAIM3 1
1540 FAM107B -1
1565 FAM171B -1
1591 FAM216A 1
1599 FAM3B -1
1620 FAM84A -1
1682 FGF13 -1
1685 FGFBP2 1
1696 FHL2 1
1736 FOSL2 1
1738 FOXC1 1
1754 FRK 1
1781 FUT9 -1
1802 GABBR2 -1
1831 GATA4 1
1857 GEM 1
1988 GRB14 -1
1990 GREB1 1
2043 H19 1
2066 HCAR3 -1
2093 HERC5 1
2100 HEY2 1
2156 HMCN1 -1
2160 HMGCS1 1
2210 HSD17B11 -1
2230 HSPB8 1
2247 ID1 -1
2285 IGF2 1
2288 IGFBP3 -1
2289 IGFBP4 1
2299 IGSF5 -1
2314 IL1R1 -1
2320 IL20 1
2354 INS-IGF2 1
2415 JAK2 1
2434 KAT2B -1
2449 KCNJ8 -1
2451 KCNK15 1
2452 KCNK6 1
2458 KCTD12 1
2520 KLHL24 -1
2586 LDLRAD4 -1
2607 LIMA1 -1
2608 LIMCH1 -1
2614 LINC00052 1
2685 LONRF2 1
2689 LOXL4 1
2743 LYAR 1
2744 LYN -1
2912 MGP 1
2968 MIR675 1
3000 MME -1
3027 MPPED2 1
3151 MYBL1 1
3169 MYO1B -1
3207 NAV2 1
3208 NBEA -1
3264 NEDD9 -1
3371 NPNT -1
3375 NPY1R 1
3389 NR5A2 1
3417 NTN4 -1
3638 PDLIM3 1
3648 PDZK1 1
3652 PEG10 1
3677 PGLYRP2 1
3682 PGM5 -1
3685 PGR 1
3743 PKIB 1
3798 PMAIP1 1
3802 PMP22 -1
3851 POLR3G 1
3871 PP14571 -1
3882 PPFIBP2 -1
3897 PPM1K 1
3909 PPP1R3C -1
3978 PRSS23 1
3985 PSCA -1
3987 PSD3 -1
4025 PTGER4 -1
4026 PTGES 1
4035 PTP4A1 1
4098 RAB26 -1
4104 RAB31 1
4154 RAPGEFL1 1
4161 RASGRP1 1
4176 RBL2 -1
4181 RBM24 1
4208 RERG 1
4210 RET 1
4226 RFTN1 -1
4267 RIN2 -1
4293 RNF144B -1
4385 RP11-663N22.1 -1
4388 RP11-710C12.1 -1
4393 RP11-774O3.3 -1
4411 RP5-1092A3.4 -1
4452 RPS6KA3 1
4493 S100A7 1
4503 SACS 1
4509 SAMD13 -1
4517 SASH1 -1
4593 SEPP1 -1
4608 SERPINA1 1
4647 SGCG -1
4648 SGK1 1
4686 SIAH2 1
4728 SLC1A1 1
4765 SLC26A2 1
4803 SLC3A2 1
4818 SLC7A11 1
4820 SLC7A5 1
4831 SLIT2 -1
4868 SMTNL2 1
4987 SOCS2 -1
5000 SOX3 1
5029 SPINK4 1
5100 ST8SIA4 -1
5148 SUSD3 1
5155 SVOPL -1
5157 SYBU 1
5177 SYTL5 1
5201 TARP -1
5272 TFPI -1
5282 TH 1
5303 THRSP 1
5328 TIMP3 -1
5330 TIPARP 1
5415 TMEM64 1
5428 TMPRSS3 1
5454 TNS3 -1
5477 TP53INP1 -1
5523 TRGC2 -1
5524 TRGV9 -1
5559 TSC22D3 -1
5702 UGT2B15 1
5758 VAT1L -1
5882 YPEL2 -1
5883 YPEL3 -1
5927 ZFP36L2 -1
6050 ZNF704 -1
