Source,Target
EGR1,ID3
ID3,VEGFA
EGR1,IL2
EGR1,IL6
EGR1,KLF5
KLF5,EGR1
KLF5,SERPINE1
KLF5,VEGFA
EGR1,MYB
EGR1,NAB2
NAB2,EGR1
EGR1,NFKB1
NFKB1,ATF3
NFKB1,CCL2
NFKB1,EGR1
NFKB1,FOS
NFKB1,HBEGF
NFKB1,HES1
NFKB1,IER3
NFKB1,JUNB
NFKB1,MCL1
NFKB1,MYC
NFKB1,NR4A2
NFKB1,PLAU
NFKB1,PTGS2
NFKB1,RGS4
NFKB1,SERPINE1
NFKB1,VEGFA
EGR1,PDGFA
PDGFA,EGR1
EGR1,PPARG
PPARG,GDF15
PPARG,HES1
PPARG,MYC
PPARG,PTGS2
PPARG,SERPINE1
EGR1,RB1
EGR1,RELA
EGR1,SRY
SRY,SOX9
EGR1,TCF4
TCF4,JUN
TCF4,MYC
TCF4,VEGFA
EGR1,TGFB1
EGR1,TNF
EGR1,TP53
EGR1,TP73
EGR1,WT1
WT1,EGR1
WT1,EREG
WT1,HBEGF
WT1,JUN
WT1,JUNB
WT1,MYC
WT1,VEGFA
FOS,CDKN1A
FOS,CREM
FOS,DDIT3
FOS,IL2
FOS,IL6
FOS,NFKB1
FOS,PGR
FOS,SMAD4
SMAD4,CCL2
SMAD4,JUN
SMAD4,MYC
SMAD4,PTGS2
SMAD4,SERPINE1
SMAD4,ZFP36
FOS,SMAD7
FOS,SP3
FOS,SPI1
FOS,SRR
SRR,FOS
FOS,TGFB1
FOS,TP53
SOX9,HES1
SOX9,AR
SOX9,CDKN1A
SOX9,ETV2
ETV2,SOX9
SOX9,KLF4
KLF4,ATF3
KLF4,GDF15
SOX9,MITF
MITF,FOS
MITF,SERPINE1
SOX9,SF1
SF1,SOX9
JUNB,CDKN1A
JUNB,EGFR
JUNB,IL1B
JUNB,IL2
JUNB,SMAD4
EGR2,NAB2
EGR2,TP73
ATF3,DDIT3
ATF3,TP53
NR4A1,SERPINE1
NR4A1,E2F1
NR4A1,HIF1A
NR4A1,TNF
KLF2,CDKN1A
KLF2,IL2
KLF2,PPARG
ZFP36,HIF1A
ZFP36,IL2
ZFP36,IL6
ZFP36,NFKB1
HES1,E2F1
EGR3,NAB2
EGR3,TP73
KLF10,SERPINE1
KLF10,CDKN1A
MAFF,MAF
MAF,MAFF
LIF,WT1
CCL2,HIF1A
