"","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","A2M-AS1",-0.24048369229946,3.22607006306523,-3.3271583756508,0.0030320960417621,0.0147195253951617,-2.60922490706048
"2","A4GALT",0.360868473381689,6.4858980010691,6.53039399540052,1.37619865826186e-06,2.31743817854752e-05,5.05481073476313
"3","A4GNT",-0.228613850474672,3.73490665777646,-3.22131527058476,0.00389870003016923,0.0181314320682609,-2.85173658501517
"4","AAAS",0.318788949248504,7.81199083462006,4.37521194494529,0.000236990328902771,0.00179813278905112,-0.109119953183504
"5","AADAT",0.304675303564979,6.30261407840322,4.46097764654625,0.000192017186491493,0.00150560907972918,0.0997329813280095
"6","AAED1",0.349885975025769,8.43038988835464,6.61717682600115,1.12947770490676e-06,1.95590872285064e-05,5.25435610037456
"7","AAMDC",-0.265439957448571,7.70429779962021,-3.12782715076585,0.00486029666221798,0.0215905732985948,-3.06358605093736
"8","AAMP",0.154386717111755,9.55418778322267,3.70995865922796,0.00120619776739599,0.00699365658878606,-1.71269943120065
"9","AANAT",0.213430301069901,3.13998526421244,2.95573449655837,0.00726056528388012,0.0300360862700145,-3.44707968048257
"10","AARSD1",0.326745604958898,6.21147227431279,5.5485076163017,1.36784507890993e-05,0.000161000948828838,2.74072378372832
"11","AASDHPPT",0.173133097543266,8.14073275215193,2.92261860947511,0.00783780674040725,0.0319034638893018,-3.51982483766086
"12","AATF",0.323426909435302,8.87447265263159,6.4568980569217,1.62803906658657e-06,2.65776148966717e-05,4.88512355347263
"13","AB488780",-0.199166127980261,5.50773299654104,-3.11645702592738,0.0049918261198532,0.0220709722586269,-3.08919053319357
"14","ABAT",0.601019033957689,7.64236784386407,9.1086840459281,5.92225419300765e-09,2.5941722322662e-07,10.5659407696732
"15","ABCA1",-1.06714600721594,4.19362471213983,-10.5876675035521,3.8264983331686e-10,2.64831949638599e-08,13.3319655557516
"16","ABCA12",-0.546862042656246,6.57712875102811,-8.02409663971669,5.26277625053889e-08,1.54794026540348e-06,8.35570623049091
"17","ABCA17P",0.276116881211232,3.46653827695442,3.68238448125567,0.00128968684090522,0.00738086214931507,-1.77813303542967
"18","ABCB4",-0.300977022119509,3.4817772770768,-3.91685388220112,0.000728668873654924,0.00462247229566061,-1.21846088403105
"19","ABCC2",0.225313543638901,3.93590948155106,2.72199955023271,0.0123874192054842,0.0458221957889663,-3.95241472152143
"20","ABCC5",-1.51880523324462,7.10410188072287,-17.8706813324465,1.15006795851373e-14,7.02319441841784e-12,23.6725234913961
"21","ABCC6P1",-0.184715785838,3.06898337779626,-2.90677731713689,0.00812921685847058,0.0328634987602073,-3.554495646896
"22","ABCC8",-0.235371213126645,4.72596443779236,-2.68511643889724,0.0134593586994066,0.0487963444518562,-4.03031988855899
"23","ABCD3",0.528174225117857,7.03821249188398,6.56851376867323,1.26165706890851e-06,2.15780772007804e-05,5.14257206145387
"24","ABCE1",0.716516045183866,9.69924008164531,12.5160508270117,1.55710486685295e-11,2.00808499071228e-09,16.5486553232262
"25","ABCF1",0.167217143159696,9.10772034381269,3.33227988669423,0.00299530262116181,0.0145818214122351,-2.59742316923183
"26","ABCF2",0.534877778988127,8.72623350830282,7.98175451463925,5.74941190942608e-08,1.66492384205598e-06,8.26620061458549
"27","ABCG1",-1.28894764302856,4.57124607167924,-8.99007690038589,7.46432757028213e-09,3.13728407574429e-07,10.3319114222722
"28","ABCG2",-0.272347701246501,9.30391028172515,-3.0981428627523,0.00521093675119199,0.0228355170462219,-3.13035620055329
"29","ABHD10",0.238497896511159,8.25209002877576,3.59466930782034,0.00159492514589961,0.00879559915121213,-1.985493216701
"30","ABHD11",0.329541280953278,6.38461830226705,4.0469968606487,0.0005300166360059,0.00354419820076989,-0.905097628866011
"31","ABHD12",-0.491506489600862,8.25520661124193,-8.69335142328229,1.3423964267249e-08,5.04017667415715e-07,9.7382263304093
"32","ABHD13",0.328455706098243,3.72381426381955,3.7889559198936,0.00099539871730261,0.00597045717414681,-1.5246362529149
"33","ABHD16A",0.249370659087632,4.94611163643878,3.11583447886104,0.00499912608332977,0.0220938388395436,-3.090591412026
"34","ABHD16B",0.186847557142546,3.8051995866228,2.68489031193184,0.0134661929592718,0.048812598535852,-4.03079586647078
"35","ABHD17B",0.386430416195362,6.63740716695,4.88562317867071,6.79113248220834e-05,0.000627522401994178,1.13506388026714
"36","ABHD17C",-0.568356028809365,9.02607542925095,-7.41920678532712,1.90457037893155e-07,4.46327254827943e-06,7.05414015466959
"37","ABHD2",0.548829734807371,7.51487221087021,9.49956233698409,2.79746440299454e-09,1.41667691217989e-07,11.3241029015735
"38","ABHD4",-0.501152653900006,7.41510820097067,-7.95166207180677,6.12327190211272e-08,1.75604274176197e-06,8.20244183705562
"39","ABI1",-0.352237447254454,7.89541933368558,-6.68557088218105,9.67262433957099e-07,1.72685037972926e-05,5.41098409302528
"40","ABLIM3",-0.432405058450954,6.39918710797533,-5.57790654980259,1.27506174578927e-05,0.000151947100293233,2.81131479095314
"41","ABT1",0.226600286384704,7.93220518384259,4.19672042107986,0.000367218746371704,0.00260046481272704,-0.542807728282571
"42","ABTB1",-0.33867393063862,6.48103837646637,-5.2181647408809,3.02741126759047e-05,0.000316506244456097,1.94341438364669
"43","AC004951.6",-0.192594857364611,5.49888316846139,-2.6791686736745,0.0136402119992527,0.0493142472123427,-4.04283265725502
