,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
1,,0.353521511259071,8.80722904244681,0.552113328385336,0.583383284186318,0.830589383152154,-6.34623458077641
2,A1CF,-0.03020601068659,5.21976963640425,-0.564395157096663,0.575062854664117,0.825464641280121,-6.33943803242658
3,A2M,0.0656148555597884,5.4899410082766,0.826666929258438,0.412438044520355,0.718381329359667,-6.1593186954495
4,A4GALT,-0.0460771271340548,6.39783834855319,-0.777028786856901,0.440881391623821,0.739436173583296,-6.19850360071353
5,A4GNT,-0.0343463437010803,4.97271130565957,-0.881971109226523,0.382103668350095,0.69438755123341,-6.11288743797759
6,AAAS,-0.112258538172097,6.8796893357234,-2.19700615238451,0.032784912720419,0.165446172265796,-4.2038313541058
7,AACS,-0.0694464209148471,7.82482886921277,-1.57092249835592,0.122643898851899,0.377530935879338,-5.2974259568721
8,AADAC,-0.0481586334782573,4.88970981014894,-1.14997147330537,0.255743895624211,0.566428361801018,-5.84705638207051
9,AAGAB,0.0178760045525443,7.6384553467234,0.313110136754489,0.755527433609574,0.914191777715148,-6.44896308998677
10,AAK1,-0.078456449612311,8.34335654219149,-1.51437108833292,0.13636367370009,0.401275773028306,-5.38033960157479
11,AAMDC,-0.20153935673369,8.29270617946809,-4.88677861777145,1.14190761434169e-05,0.000659604581337821,3.15578372321691
12,AAMP,0.00147474546921522,8.24045517074468,0.036821080099552,0.970777443489598,0.990407637213132,-6.49714431298676
13,AANAT,-0.0451582599528937,4.36605877012766,-0.885764816588717,0.380075770007693,0.691965722263901,-6.10959565395402
14,AAR2,0.0926384805471034,7.77236873910638,2.93492975328257,0.00506832925964676,0.0484694104143159,-2.54713747379155
15,AARS,-0.128175492570646,9.01995844965957,-2.76146674888666,0.00807954167722817,0.066970653274603,-2.96838446092196
16,AARSD1,-0.0612759298731866,6.70429898457447,-1.29267027933663,0.202194596984962,0.499464660249794,-5.67844529703445
17,AASDHPPT,0.0325835558804464,9.06342631461702,0.433750797797696,0.666375429934688,0.876045559572113,-6.40414850818653
18,AASS,0.05170237911776,6.03475861995745,0.729397717137297,0.469234918839355,0.761117038343037,-6.23387871465228
19,AATF,0.0326138890779024,8.26344058306383,0.806979345811462,0.423582782459936,0.727311672918903,-6.17514280494445
20,AATK,-0.0602091430452836,6.44504178323404,-1.59840555412672,0.116389596681222,0.367218968899862,-5.25614147600039
21,ABAT,-0.207269496166667,6.2679321797234,-1.91241433751081,0.061684905466642,0.249029950649885,-4.73970979686066
22,ABCA1,-0.151339352233688,9.84934740361702,-1.45696411047007,0.151512683764866,0.425052580376232,-5.46167859568569
23,ABCA11P,-0.152340527827893,4.52007047695745,-3.26516304242839,0.002000768563833,0.0248206562295639,-1.69740204270654
24,ABCA12,-0.00215039731702582,3.37068046461702,-0.049775076644724,0.960504211449548,0.985587540114562,-6.49658472691965
25,ABCA2,0.00255619310326516,5.10587465838298,0.0336474713981562,0.973295119973287,0.991221216633952,-6.49725587576541
26,ABCA3,-0.0695357031974524,6.33033071238298,-1.50201917987339,0.139517186552836,0.406532484481715,-5.39808251446605
27,ABCA4,-0.0182722326286182,5.08213791668085,-0.309340328594068,0.758375821660088,0.915294444736896,-6.45013131934373
28,ABCA5,-0.000167682726445406,5.01549219178723,-0.00359221308819048,0.997148437126861,0.99941947611084,-6.49781422142965
29,ABCA6,-0.0138528949148502,3.5122705847234,-0.382433559537699,0.703795566904546,0.896123877207038,-6.42497035878678
30,ABCA7,-0.0736937057282505,6.44216307497872,-1.33676932880298,0.187478909627204,0.478265860280238,-5.62261681614888
