logFC,AveExpr,t,P.Value,adj.P.Val,B,id
3.25796554533334,6.40090354175,4.39932018817612,0.000162109036402972,0.00715824816717288,0.500992551959644,FOS
3.19953178466667,7.61903065008333,10.3741490112216,9.14808124525464e-11,2.88677744270987e-08,14.7196907898761,EGR1
2.96159278275,8.28321779820833,31.4513503776615,2.56175196860035e-22,1.52731530276479e-18,38.6077507678833,JUN
2.73775149891667,8.80128340354167,16.2683616405859,3.35254308683352e-15,2.71095015359075e-12,24.5417978880014,DUSP5
2.65642480833333,8.35523717375,16.3825115568842,2.8364626098974e-15,2.44654354979017e-12,24.6980351308418,LIF
2.64199228083334,10.46518398625,25.3297355383999,6.19627985048055e-20,1.33612447842529e-16,34.2368865506308,DUSP1
2.63640403775,9.70400329445833,26.633980760752,1.74656139062147e-20,4.51940225437211e-17,35.2820004055723,GDF15
2.61951288516667,9.32498755441667,13.3113708910724,3.68623470204213e-13,2.16784111704641e-10,20.0811625799109,SPRY2
2.61115085533333,8.85298116025,20.578537880223,1.10402535075866e-17,1.58709777645728e-14,29.7651397149848,JUNB
2.501560284,8.43381619583333,13.3164831300267,3.6539401859253e-13,2.16784111704641e-10,20.0896221504274,BHLHE40
2.42906919875,8.23280150170833,11.5934557960904,8.25299740743985e-12,3.23567516537748e-09,17.0720946483028,SPRY4
2.3800172315,8.5940938215,14.5876408551464,4.42142255279444e-14,3.04908433164286e-11,22.108999607326,KLF2
2.3558992845,6.98293992425,5.53920222330556,7.97814589655536e-06,0.0007218269343331,3.46435655191729,HBEGF
2.33211314083334,7.85958252133333,23.3538366728213,4.75587249125679e-19,7.69143478648505e-16,32.5136611121727,ATF3
2.299704411,7.82297502283333,12.3989708468192,1.84846816303061e-12,8.5412432476036e-10,18.5253129907188,NR4A1
2.29598545391667,9.994900483875,12.7756993966334,9.40232920786959e-13,4.67874366505449e-10,19.1789798319227,SERPINE1
2.2400946,4.93613241075,8.75538746224575,2.96523348267891e-09,7.52239035272545e-07,11.2915181976947,PTGS2
2.22910701633333,7.76548439816667,8.74617723175179,3.02746008879775e-09,7.5325535824741e-07,11.2709805463785,NR4A2
2.17846560066666,11.0294969988333,33.8077636840313,4.04242528907271e-23,5.23008983900228e-19,39.9774273616738,IER3
2.0861470785,7.30468578733333,7.01710098578929,1.81989047558706e-07,3.0186849965571e-05,7.21121686103991,MCL1
2.07198783016667,5.71733540425,19.1611478109523,6.38482333465428e-17,8.2606844303757e-14,28.1896706647381,HES1
2.02307754416667,9.03435963833333,8.35931168518619,7.31716982884307e-09,1.60456852958596e-06,10.397701240708,DUSP6
2.009527153,7.69914694525,17.2926966220802,7.73630532001079e-16,8.34102651919164e-13,25.9058476297274,PMAIP1
1.98739833008334,9.26706380579167,11.5517117690989,8.93582362111901e-12,3.40034370617758e-09,16.9946573814261,MYC
1.786948457,5.18955072508333,5.16584438229591,2.13224879639452e-05,0.00161921202536146,2.4936611137466,SIK1
1.78308299441667,8.29262491329167,5.36960085897905,1.24584063717411e-05,0.00102666790851966,3.02396793284184,SOX9
1.63821558533333,8.25094985716667,8.38678863869871,6.86811636320762e-09,1.53206361219276e-06,10.4604084016676,VEGFA
1.62548587908333,8.62735182645833,6.53787972571067,6.05159744919601e-07,8.79725480873011e-05,6.01911035658007,RGS4
1.60496414383333,8.48872973491667,8.84854439828284,2.40494284758708e-09,6.482323033767e-07,11.4985845867339,FOSL1
1.53251790933333,5.82709949841667,13.7843155464286,1.65065170687549e-13,1.06780658917775e-10,20.8520551781103,DUSP2
1.42116041408333,5.42039905429167,4.3274965242014,0.000195950068848684,0.00792250622113837,0.315729414471916,IL11
1.26775507133333,8.92700060441667,7.59948788532854,4.38609175459126e-08,8.73034694167719e-06,8.62288877334744,CCL2
1.22495800083333,7.44069042408333,5.41765624328803,1.09785950351958e-05,0.000934480674772129,3.1488648070342,BTG2
1.218092368,7.27357780433333,7.29745082993313,9.12572152874256e-08,1.68669407341245e-05,7.89610140022313,EPHA2
-1.21329316166667,7.93163385291667,-4.6178758865646,9.09406465629954e-05,0.00474431485980659,1.06704081192511,CDKN1B
